id,author,title,gender,isbn,release_date,origin,description
165,Emily Brontë,Wuthering Heights,F,9781729841617,1847,International,"Wuthering Heights is Emily Brontë's only novel. Written between October 1845 and June 1846, Wuthering Heights was published in 1847 under the pseudonym ""Ellis Bell"". Emily Brontë died the following year, aged 30. After Emily's death, Charlotte edited the manuscript of Wuthering Heights and arranged for the edited version to be published as a posthumous second edition in 1850.Although Wuthering Heights is now widely regarded as a classic of English literature, contemporary reviews for the novel were deeply polarised; it was considered controversial because its depiction of mental and physical cruelty was unusually stark, and it challenged strict Victorian ideals of the day regarding religious hypocrisy, morality, social classes and gender inequality.Wuthering Heights is the story of an intense love between Catherine Earnshaw, and Heathcliff. When Heathcliff disappears for several years, Catherine marries someone else. Upon his return the violent love story continues, in which Heathcliff is forever seeking revenge and redemption."
166,Charlotte Brontë,Jane Eyre,F,9781503278196,1847,International,"Jane Eyre (originally published as Jane Eyre: An Autobiography) is a novel by English writer Charlotte Brontë. It was published on 16 October 1847 by Smith, Elder & Co. of London, England, under the pen name ""Currer Bell."" The first American edition was released the following year by Harper & Brothers of New York. Primarily of the bildungsroman genre, Jane Eyre follows the emotions and experiences of its title character, including her growth to adulthood, and her love for Mr. Rochester, the byronic master of fictitious Thornfield Hall. In its internalisation of the action — the focus is on the gradual unfolding of Jane's moral and spiritual sensibility and all the events are coloured by a heightened intensity that was previously the domain of poetry — Jane Eyre revolutionised the art of fiction. Charlotte Brontë has been called the 'first historian of the private consciousness' and the literary ancestor of writers like Joyce and Proust. The novel contains elements of social criticism, with a strong sense of morality at its core, but is nonetheless a novel many consider ahead of its time given the individualistic character of Jane and the novel's exploration of classism, sexuality, religion, and proto-feminism."
167,William Makepeace Thackeray,Vanity Fair,M,9781420956719,1847,International,"First published serially from 1847 to 1848, “Vanity Fair” is William Makepeace Thackeray’s most famous work in which the author reflects his interest in deconstructing the notions of literary heroism of his era. It is the story of Becky Sharp and Amelia Sedley, who have just completed their studies at Miss Pinkerton’s Academy for Young Ladies and are beginning to embark upon the world. The simple-minded nature of Amelia, who comes from a wealthy family, is contrasted with the strong-willed nature of Becky, who will stop at nothing to climb the social ranks of English society. The novel takes its name from John Bunyan’s Pilgrim’s Progress, one of the most famous work of Thackeray’s day, in which a town called Vanity is depicted to represent man’s sinful attachment to worldly things. Set against the backdrop of the Napoleonic Wars, “Vanity Fair” is Thackeray’s classic satire of the societal trappings of Victorian England, self described as a novel without a hero. This edition is printed on premium acid-free paper, includes an introduction by John Edwin Wells, and illustrations by Charles Crombie."
168,Nathaniel Hawthorne,The Scarlet Letter,M,9781512090567,1850,International,"Like all of Hawthorne's novels, ""The Scarlet Letter"" has but a slender plot and but few characters with an influence on the development of the story. Its great dramatic force depends entirely on the mental states of the actors and their relations to one another, —relations of conscience, — relations between wronged and wrongers. Its great burden is the weight of unacknowledged sin as seen in the remorse and cowardice and suffering of the Rev. Arthur Dimmesdale. Contrasted with his concealed agony is the constant confession, conveyed by the letter, which is forced upon Hester, and has a double effect, — a healthful one, working beneficently, and making her helpful and benevolent, tolerant and thoughtful ; and an unhealthful one, which by the great emphasis placed on her transgression, the keeping her forever under its ban and isolating her from her fellows, prepares her to break away from the long repression and lapse again into sin when she plans her flight. Roger Chillingworth is an embodiment of subtle and refined revenge. The most striking situation is perhaps ""The Minister's Vigil,"" in chapter xii. The book, though corresponding in its tone and burden to some of the shorter stories, had a more startling and dramatic character, and a strangeness, which at once took hold of a larger public than any of those had attracted. Though imperfectly comprehended, and even misunderstood in some quarters, it was seen to have a new and unique quality; and Hawthorne's reputation became national."
169,Herman Melville,Moby-Dick,M,9781503280786,1851,International,"Moby-Dick; or, The Whale is a novel by Herman Melville, in which Ishmael narrates the monomaniacal quest of Ahab, captain of the whaler Pequod, for revenge on the albino sperm whale Moby Dick, which on a previous voyage destroyed Ahab's ship and severed his leg at the knee. Although the novel was a commercial failure and out of print at the time of the author's death in 1891, its reputation grew immensely during the twentieth century. D. H. Lawrence called it ""one of the strangest and most wonderful books in the world,"" and ""the greatest book of the sea ever written."" Moby-Dick is considered a Great American Novel and an outstanding work of the Romantic period in America and the American Renaissance. ""Call me Ishmael"" is one of world literature's most famous opening sentences. The product of a year and a half of writing, the book is dedicated to Nathaniel Hawthorne, ""in token of my admiration for his genius,"" and draws on Melville's experience at sea, on his reading in whaling literature, and on literary inspirations such as Shakespeare and the Bible. The detailed and realistic descriptions of whale hunting and of extracting whale oil, as well as life aboard ship among a culturally diverse crew, are mixed with exploration of class and social status, good and evil, and the existence of God. In addition to narrative prose, Melville uses styles and literary devices ranging from songs, poetry and catalogs to Shakespearean stage directions, soliloquies and asides. The author changed the title at the very last moment in September 1851. The work first appeared as The Whale in London in October 1851, and then under its definitive title Moby-Dick in New York in November. The whale, however, appears in both the London and New York editions as ""Moby Dick,"" with no hyphen. The British edition of five hundred copies was not reprinted during the author's life, the American of almost three thousand was reprinted three times at approximately 250 copies, the last reprinting in 1871. These figures are exaggerated because three hundred copies were destroyed in a fire at Harper's; only 3,200 copies were actually sold during the author's life."
170,Gustave Flaubert,Madame Bovary,M,9780143106494,1856,International,"Emma Bovary is the original desperate housewife. Beautiful but bored, she spends lavishly on clothes and on her home and embarks on two disappointing affairs in an effort to make her life everything she believes it should be. Soon heartbroken and crippled by debts, she takes drastic action, with tragic consequences for her husband and daughter. In this landmark new translation of Gustave Flaubert's masterwork, award-winning writer and translator Lydia Davis honors the nuances and particulars of Flaubert's legendary prose style, giving new life in English to the book that redefined the novel as an art form."
171,Wilkie Collins,The Woman in White,M,9781840220841,1859,International,"Wilkie Collins is a master of mystery, and The Woman in White is his first excursion into the genre. When the hero, Walter Hartright, on a moonlit night in north London, encounters a solitary, terrified and beautiful woman dressed in white, he feels impelled to solve the mystery of her distress. The intricate plot is peopled with a finely characterised cast, from the peevish invalid Mr Fairlie to the corpulent villain Count Fosco and the enigmatic woman herself."
172,Lewis Carroll,Alice's Adventures In Wonderland,M,9781501007859,1865,International,"Alice's Adventures in Wonderland is often a fairy tale written by the English mathematician, poet and writer Charles Lutwidge Dodgson under the pseudonym Lewis Carroll and published in 1865. It tells about a girl named Alice, who falls through a rabbit hole into an imaginary world inhabited by strange anthropomorphic creatures. The fairy tale enjoys steady popularity both in children and adults. The book is considered one of the best examples of literature in the genre of the absurd; it uses numerous mathematical, linguistic and philosophical jokes and allusions. The course of the narrative and its structure had a strong influence on art, especially on the genre of fantasy. ""Alice in the Looking Glass"" is a plot continuation of the work."
173,Louisa M. Alcott,Little Women,F,9780553212754,1868,International,"Little Women is one of the best loved books of all time. Lovely Meg, talented Jo, frail Beth, spoiled Amy: these are hard lessons of poverty and of growing up in New England during the Civil War. Through their dreams, plays, pranks, letters, illnesses, and courtships, women of all ages have become a part of this remarkable family and have felt the deep sadness when Meg leaves the circle of sisters to be married at the end of Part I. Part II, chronicles Meg's joys and mishaps as a young wife and mother, Jo's struggle to become a writer, Beth's tragedy, and Amy's artistic pursuits and unexpected romance. Based on Louise May Alcott's childhood, this lively portrait of nineteenth-century family life possesses a lasting vitality that has endeared it to generations of readers."
174,Anthony Trollope,The Way We Live Now,M,9781521128466,1875,International,"""The Way We Live Now is a satirical novel by Anthony Trollope, published in London in 1875 after first appearing in serialised form. It is one of the last significant Victorian novels to have been published in monthly parts. Comprising 100 chapters, The Way We Live Now was Trollope's longest novel, and is particularly rich in sub-plot. It was inspired by the financial scandals of the early 1870s; Trollope had just returned to England from abroad, and was appalled by the greed and dishonesty those scandals exposed. This novel was his rebuke. It dramatises how that greed and dishonesty pervaded the commercial, political, moral, and intellectual life of that era. Plot Summary: Augustus Melmotte is a financier with a mysterious past. He is rumoured to have Jewish origins, and to be connected to some failed businesses in Vienna. When he moves his business and his family to London, the city's upper crust begins buzzing with rumours about him — and a host of people ultimately find their lives changed because of him. Melmotte sets up his office in the City of London and purchases a fine house in Grosvenor Square. He sets out to woo rich and powerful investors by hosting a lavish party. He finds an appropriate investment vehicle when he is approached by an American entrepreneur, Hamilton K. Fisker, to float a company to construct a new railway line running from Salt Lake City, USA, to Veracruz, Mexico. Melmotte's goal is to ramp up the share price without paying any of his own money into the scheme itself, thus further enriching himself, regardless of whether the line gets built."""
175,Leo Tolstoy,Anna Karenina,M,9780553213461,1877,International,"Sensual, rebellious Anna falls deeply and passionately in love with the handsome Count Vronsky. When she refuses to conduct the discreet affair that her cold, ambitious husband (and Russian high society) would condone, she is doomed. Set against the tragic love of Anna and Vronsky, the plight of the melancholy nobleman Konstantine Levin unfolds. In doubt about the meaning of life, haunted by thoughts of suicide, Levin’s struggles echo Tolstoy’s own spiritual crisis. But Anna's inner turmoil mirrors the own emotional imprisonment and mental disintegration of a woman who dares to transgress the strictures of a patriarchal world. In Anna Karenina, Leo Tolstoy brought to perfection the novel of social realism and created a masterpiece that bared the Russian soul."
176,Fyodor Dostoevsky,The Brothers Karamazov,M,9780486437910,1880,International,"Completed only a few months before the author's death, The Brothers Karamazov is Dostoyevsky's largest, most expansive, most life-embracing work. Filled with human passions ― lust, greed, love, jealousy, sorrow, and humor ― the book is also infused with moral issues and the issue of collective guilt. As in many of Dostoyevsky's novels, the plot centers on a murder. Three brothers, different in character but bound by their ancestry, are drawn into the crime's vortex: Dmitri, a young officer utterly unrestrained in love, hatred, jealousy, and generosity; Ivan, an intellectual capable of delivering impromptu disquisitions about good and evil, God, and the devil; and Alyosha, the youngest brother, preternaturally patient, kind, and loving. Part mystery, part profound philosophical and theological debate, The Brothers Karamazov represents the culmination of Dostoyevsky's life's work and ranks among the greatest novels of all time."
177,Mark Twain,Huckleberry Finn,M,9781948132817,1884,International,"Mark Twain created the memorable characters Tom Sawyer and Huckleberry Finn drawing from the experiences of boys he grew up with in Missouri. Set by the Mississippi River in the 1840’s, this tale is a follow-up to his original book, The Adventures of Tom Sawyer. Huckleberry takes off on a raft down the Mississippi with Jim, a slave seeking his freedom. They run into two con artists, the Duke and the King, as they drift southward, and Huck reunites with Tom Sawyer near the end of the book. The book exposes attitudes prevalent at the times, especially racism, and includes coarse language."
178,Oscar Wilde,The Picture of Dorian Gray,M,9781515190998,1890,International,"The Picture of Dorian Gray is an 1891 philosophical novel by Irish writer and playwright Oscar Wilde. First published as a serial story in the July 1890 issue of Lippincott's Monthly Magazine, the editors feared the story was indecent, and without Wilde's knowledge, deleted five hundred words before publication. Despite that censorship, The Picture of Dorian Gray offended the moral sensibilities of British book reviewers, some of whom said that Oscar Wilde merited prosecution for violating the laws guarding the public morality. In response, Wilde aggressively defended his novel and art in correspondence with the British press. Wilde revised and expanded the magazine edition of The Picture of Dorian Gray (1890) for publication as a novel; the book edition (1891) featured an aphoristic preface — an apologia about the art of the novel and the reader. The content, style, and presentation of the preface made it famous in its own literary right, as social and cultural criticism. In April 1891, the editorial house Ward, Lock and Company published the revised version of The Picture of Dorian Gray."
179,Thomas Hardy,Jude the Obscure,M,9781985260023,1895,International,"Jude the Obscure, the last completed novel by Thomas Hardy, began as a magazine serial in December 1894 and was first published in book form in 1895. Its protagonist, Jude Fawley, is a working-class young man, a stonemason, who dreams of becoming a scholar. The other main character is his cousin, Sue Bridehead, who is also his central love interest. The novel is concerned in particular with issues of class, education, religion and marriage."
180,Marcel Proust,In Search of Lost Time,M,9781631493676,1913,International,"In what renowned translator Arthur Goldhammer called “a piano reduction of an orchestral score,” the first volume of Stéphane Heuet’s adaptation of In Search of Lost Time electrified the graphic community like no other—re-presenting the novel for anyone who has always dreamed of reading Proust but was put off by the sheer magnitude of the undertaking. Whereas the first volume described the narrator’s childhood in the pastoral town of Combray, the second volume portrays the narrator’s foray into adolescence, set in the opulent seaside resort of Balbec. Preserving Proust’s original dissection of the spontaneity of youth, translator Laura Marris captures the narrator’s infatuation with his playmates—his memories of their intoxicating afternoons together unfolding as if in a dream. Featuring some of Proust’s most memorable characters—from mysterious Charlus to beguiling young Albertine—this second volume becomes a necessary companion piece for any lover of modern literature."
181,Virginia Woolf,Mrs Dalloway,F,9781726208536,1925,International,"Clarissa Dalloway spends the day preparing for the party she is hosting that evening. Virginia Woolf, in lyrical language, describes Clarissa, her memories, day-dreams, regrets and fears for what will be, to masterfully bring together the past, present and future in what has become one of the great novels of the twentieth century."
182,EM Forster,A Passage to India,M,9780241214992,1924,International,"When Adela Quested and her elderly companion Mrs Moore arrive in the Indian town of Chandrapore, they quickly feel trapped by its insular and prejudiced 'Anglo-Indian' community. Determined to escape the parochial English enclave and explore the 'real India', they seek the guidance of the charming and mercurial Dr Aziz, a cultivated Indian Muslim. But a mysterious incident occurs while they are exploring the Marabar caves with Aziz, and the well-respected doctor soon finds himself at the centre of a scandal that rouses violent passions among both the British and their Indian subjects. A masterly portrait of a society in the grip of imperialism, A Passage to India compellingly depicts the fate of individuals caught between the great political and cultural conflicts of the modern world."
183,F. Scott Fitzgerald,The Great Gatsby,M,9789176371213,1925,International,"THE GREAT GATSBY is a 1925 novel written by American author F. Scott Fitzgerald that follows a cast of characters living in the fictional town of West Egg on prosperous Long Island in the summer of 1922. The story primarily concerns the young and mysterious millionaire Jay Gatsby and his quixotic passion and obsession for the beautiful former debutante Daisy Buchanan. Considered to be Fitzgerald's magnum opus, The Great Gatsby explores themes of decadence, idealism, resistance to change, social upheaval, and excess, creating a portrait of the Jazz Age or the Roaring Twenties that has been described as a cautionary tale regarding the American Dream. Fitzgerald-inspired by the parties he had attended while visiting Long Island's north shore-began planning the novel in 1923, desiring to produce, in his words, ""something new-something extraordinary and beautiful and simple and intricately patterned."" Progress was slow, with Fitzgerald completing his first draft following a move to the French Riviera in 1924. His editor, Maxwell Perkins, felt the book was vague and persuaded the author to revise over the next winter. Fitzgerald was repeatedly ambivalent about the book's title and he considered a variety of alternatives, including titles that referenced the Roman character Trimalchio; the title he was last documented to have desired was Under the Red, White, and Blue. In its first year, the book sold only 20,000 copies. Fitzgerald died in 1940, believing himself to be a failure and his work forgotten. However, the novel experienced a revival during World War II, and became a part of American high school curricula and numerous stage and film adaptations in the following decades. Today, The Great Gatsby is widely considered to be a literary classic and a contender for the title ""Great American Novel."" In 1998, the Modern Library editorial board voted it the 20th century's best American novel and second best English-language novel of the same time period."
184,Franz Kafka,The Trial,M,9780805209990,1925,International,"Written in 1914, The Trial is one of the most important novels of the twentieth century: the terrifying tale of Josef K., a respectable bank officer who is suddenly and inexplicably arrested and must defend himself against a charge about which he can get no information. Whether read as an existential tale, a parable, or a prophecy of the excesses of modern bureaucracy wedded to the madness of totalitarianism, Kafka's nightmare has resonated with chilling truth for generations of readers. This new edition is based upon the work of an international team of experts who have restored the text, the sequence of chapters, and their division to create a version that is as close as possible to the way the author left it."
185,Albert Camus,The Plague,M,9780141045511,1947,International,"“[Camus] believed that the actual historical incidents we call plagues are merely concentrations of a universal precondition, dramatic instances of a perpetual rule: that all human beings are vulnerable to being randomly exterminated at any time, by a virus, an accident or the actions of our fellow man . . . He speaks to us in our own times not because he was a magical seer who could intimate what the best epidemiologists could not, but because he correctly sized up human nature.”  &lt;br&gt; —Alain de Botton, &lt;i&gt;The New York Times &lt;/i&gt;(“Camus on the Coronavirus”)&lt;br&gt;&lt;br&gt;“Its relevance lashes you across the face . . . At first, the epidemic, like all catastrophes, secretly confirms what everyone knew already; that is, it extends the narcissism of the times into the new era, often via the forbidden hope — that it will smite one’s enemies while sparing oneself . . . Eventually, the town lapses into a kind of collective despondency with one predictable exception: the enduring complacency of ‘a privileged few, those with money to burn.’”&lt;br&gt; —Stephen Metcalf, &lt;i&gt;The Los Angeles Times&lt;/i&gt; (“Albert Camus’ &lt;i&gt;The Plague&lt;/i&gt; and our own Great Reset”)&lt;br&gt;&lt;br&gt;“The microbe has no meaning; we seek to create one in the chaos it brings . . . The plague, as Camus insisted, exposes existing fractures in societies, in class structure and individual character; under stress, we see who we really are.” &lt;br&gt; —Adam Gopnik, &lt;i&gt;The New Yorker&lt;/i&gt; (“The Coronavirus Crisis Reveals New York at Its Best and Worst”)&lt;br&gt;&lt;br&gt;“Through his characters, Camus examines how people respond as individuals – and as part of a collective – to suffering and death. Whether it is a solitary experience or a show of social solidarity, nobody is indifferent.” &lt;br&gt; —Kim Willsher, &lt;i&gt;The Guardian&lt;/i&gt; (“Albert Camus novel The Plague leads surge of pestilence fiction”)&lt;br&gt;&lt;br&gt;“[In &lt;i&gt;The Plague&lt;/i&gt;], Camus’s canonical treatment of a fictional bubonic plague outbreak in the Algerian city of Oran, the Nobel laureate trained a piercing eye on life under quarantine, with all its strangeness and misery. But the novel also takes seriously the lessons these trying moments can teach – treats them, even, as a kind of redemption.” &lt;br&gt; —Eric Andrew-Gee, &lt;i&gt;The Globe and Mail&lt;/i&gt; (“The hope at the heart of Albert Camus’s plague novel, &lt;i&gt;La peste&lt;/i&gt;”)&lt;br&gt;&lt;br&gt;“Camus was preoccupied with the absurd . . . In &lt;i&gt;The Plague&lt;/i&gt; he found a lens for projecting life at once suspended and more vivid . . . It is a redemptive book, one that wills the reader to believe, even in a time of despair.”&lt;br&gt; —Roger Lowenstein, &lt;i&gt;The Washington Post &lt;/i&gt;(“In Camus’ &lt;i&gt;The Plague&lt;/i&gt;, lessons about fear, quarantine and the human spirit”)&lt;br&gt;&lt;br&gt;“[A] gorgeous and profound meditation on life in the shadow of death . . . I can’t think of a better book to recommend to anyone just now . . . A cautionary tale on how to mismanage a crisis, an encyclopedia of human psychology, and of course a terrifying worst-case scenario for our current predicament . . . More important than the answers it provides are the questions it forces us to ask. What matters? Why do we live? How durable are our values? What do we owe one another? What is heroism? What is decency?”&lt;br&gt; —Daniel Akst, &lt;i&gt;Strategy + Business &lt;/i&gt;(“Business Lessons from Albert Camus”)&lt;br&gt;&lt;br&gt;“A humanist allegory for the trapped desolation of Nazi-occupied Europe, and the alternate cowardice and bravery in the face of a rampant death machine.” &lt;br&gt; —Keziah Weir, &lt;i&gt;Vanity Fair &lt;/i&gt;(“An Epidemic Novel for Every Kind of Reader”)&lt;br&gt;&lt;br&gt;“[Camus] helps us understand our own responses, as a community and as individuals, in the face of extraordinary challenges.” &lt;br&gt; —David Hage, &lt;i&gt;The Star Tribune&lt;/i&gt; (“Albert Camus helps us understand our responses during this crisis”)&lt;br&gt;&lt;br&gt;“The most telling passages in &lt;i&gt;The Plague&lt;/i&gt; today are Camus’ beautifully crafted meditative observations of the social and psychological effects of the epidemic on the townspeople . . . Epidemics make exiles of people in their own countries, our narrator stresses. Separation, isolation, loneliness, boredom and repetition become the shared fate of all.”&lt;br&gt; —Matthew Sharpe, &lt;i&gt;The Conversation&lt;/i&gt; (“Guide to the Classics: Albert Camus’ &lt;i&gt;The Plague&lt;/i&gt;”)&lt;br&gt;&lt;br&gt;“Surprisingly uplifting.” &lt;br&gt; —Courtney Vinopal, &lt;i&gt;PBS News Hour&lt;/i&gt; (“8 books to read in the time of the coronavirus”)"
186,Jonathan Franzen,The Corrections,M,9780006393092,2001,International,"Enid, long-time matriarch of the Lambert family, sets her heart on an elusive goal: bringing her family together for one last Christmas at home. Published to universal acclaim, Jonathan Franzen’s novel about a post-modern family breaking down in late-twentieth-century America is a comic, tragic masterpiece. Richly realistic, darkly hilarious, and deeply human, The Corrections has been a fixture on bestseller lists since its debut and was one of the most talked-about books of the year."
187,J.D. Salinger,Catcher in the Rye,M,9787543321724,1951,International,"Anyone who has read J.D. Salinger's New Yorker stories ? particularly A Perfect Day for Bananafish, Uncle Wiggily in Connecticut, The Laughing Man, and For Esme ? With Love and Squalor, will not be surprised by the fact that his first novel is fully of children. The hero-narrator of THE CATCHER IN THE RYE is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep."
188,Flannery O'Connor,Wise Blood,F,9780374530631,1952,International,"Flannery O'Connor's haunting first novel of faith, false prophets, and redemptive wisdom Wise Blood, Flannery O'Connor's astonishing and haunting first novel, is a classic of twentieth-century literature. It is the story of Hazel Motes, a twenty-two-year-old caught in an unending struggle against his inborn, desperate fate. He falls under the spell of a ""blind"" street preacher named Asa Hawks and his degenerate fifteen-year-old daughter, Sabbath Lily. In an ironic, malicious gesture of his own non-faith, and to prove himself a greater cynic than Hawks, Motes founds the Church Without Christ, but is still thwarted in his efforts to lose God. He meets Enoch Emery, a young man with ""wise blood,"" who leads him to a mummified holy child and whose crazy maneuvers are a manifestation of Motes's existential struggles. This tale of redemption, retribution, false prophets, blindness, blindings, and wisdom gives us one of the most riveting characters in American fiction."
189,EB White,Charlotte's Web,M,9780064400558,1952,International,"Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter. E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. It contains illustrations by Garth Williams, the acclaimed illustrator of E.B. White's Stuart Little and Laura Ingalls Wilder's Little House series, among many other books."
190,J. R. R. Tolkien,The Lord Of The Rings,M,9780007525515,1954,International,"Continuing the story of The Hobbit, this three-volume boxed set of Tolkien's epic masterpiece, The Lord of the Rings, features striking black covers based on Tolkien's own design, the definitive text, and three maps including a detailed map of Middle-earth. Sauron, the Dark Lord, has gathered to him all the Rings of Power - the means by which he intends to rule Middle-earth. All he lacks in his plans for dominion is the One Ring - the ring that rules them all - which has fallen into the hands of the hobbit, Bilbo Baggins. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose. Since it was first published in 1954, 'The Lord of the Rings' has been a book people have treasured. Steeped in unrivalled magic and otherworldliness, its sweeping fantasy has touched the hearts of young and old alike."
191,Günter Grass,The Tin Drum,M,9780547339108,1959,International,"The Tin Drum, one of the great novels of the twentieth century, was published in Ralph Manheim's outstanding translation in 1959. It became a runaway bestseller and catapulted its young author to the forefront of world literature. To mark the fiftieth anniversary of the original publication, Houghton Mifflin Harcourt, along with Grass's publishers all over the world, is bringing out a new translation of this classic novel. Breon Mitchell, acclaimed translator and scholar, has drawn from many sources: from a wealth of detailed scholarship; from a wide range of newly-available reference works; and from the author himself. The result is a translation that is more faithful to Grass's style and rhythm, restores omissions,and reflects more fully the complexity of the original work. After fifty years, THE TIN DRUM has, if anything, gained in power and relevance. All of Grass's amazing evocations are still there, and still amazing: Oskar Matzerath, the indomitable drummer; his grandmother, Anna Koljaiczek; his mother, Agnes; Alfred Matzerath and Jan Bronski, his presumptive fathers; Oskar's midget friends-Bebra, the great circus master and Roswitha Raguna, the famous somnambulist; Sister Scholastica and Sister Agatha, the Right Reverend Father Wiehnke; the Greffs, the Schefflers, Herr Fajngold, all Kashubians, Poles, Germans, and Jews-waiting to be discovered and re-discovered."
192,Chinua Achebe,Things Fall Apart,F,9780385667838,1958,International,"THINGS FALL APART tells two overlapping, intertwining stories, both of which center around Okonkwo, a “strong man” of an Ibo village in Nigeria. The first of these stories traces Okonkwo's fall from grace with the tribal world in which he lives, and in its classical purity of line and economical beauty it provides us with a powerful fable about the immemorial conflict between the individual and society. The second story, which is as modern as the first is ancient, and which elevates the book to a tragic plane, concerns the clash of cultures and the destruction of Okonkwo's world through the arrival of aggressive, proselytizing European missionaries. These twin dramas are perfectly harmonized, and they are modulated by an awareness capable of encompassing at once the life of nature, human history, and the mysterious compulsions of the soul. THINGS FALL APART is the most illuminating and permanent monument we have to the modern African experience as seen from within."
193,Gabriel García Márquez,One Hundred Years of Solitude,M,9780060883287,1967,International,"One of the most influential literary works of our time, One Hundred Years of Solitude remains a dazzling and original achievement by the masterful Gabriel Garcia Marquez, winner of the Nobel Prize in Literature. One Hundred Years of Solitude tells the story of the rise and fall, birth and death of the mythical town of Macondo through the history of the Buendiá family. Inventive, amusing, magnetic, sad and alive with unforgettable men and women—brimming with truth, compassion, and a lyrical magic that strikes the soul—this novel is a masterpiece in the art of fiction."
194,Helen DeWitt,The Last Samurai,F,9780811225502,2000,International,"Sibylla, an American-at-Oxford turned loose on London, finds herself trapped as a single mother after a misguided one-night stand. High-minded principles of child-rearing work disastrously well. J. S. Mill (taught Greek at three) and Yo Yo Ma (Bach at two) claimed the methods would work with any child; when these succeed with the boy Ludo, he causes havoc at school and is home again in a month. (Is he a prodigy, a genius? Readers looking over Ludo's shoulder find themselves easily reading Greek and more.) Lacking male role models for a fatherless boy, Sibylla turns to endless replays of Kurosawa's masterpiece Seven Samurai . But Ludo is obsessed with the one thing he wants and doesn't know: his father's name. At eleven, inspired by his own take on the classic film, he sets out on a secret quest for the father he never knew. He'll be punched, sliced, and threatened with retribution. He may not live to see twelve. Or he may find a real samurai and save a mother who thinks boredom a fate worse than death."
195,Marilynne Robinson,Housekeeping,F,9780006393740,1980,International,"THIS HIGHLY ACCLAIMED and award-winning novel is the story of two orphans: Ruth and her younger sister, Lucille, growing up haphazardly under the care of various bumbling relatives. The two girls finally end up in a small town nestled next to a glacial lake in Idaho, under the guardianship of Sylvie, their odd and rather remote aunt. Ruth’s and Lucille’s struggle to define themselves as women beautifully illuminates the price of loss and survival, and the dangerous undertow of transience. Written in Robinson’s vibrantly poetic prose, Housekeeping reaches the orphan in all of us and transforms everyday life into a sacred experience."
196,Kazuo Ishiguro,Never Let Me Go,M,9780307400994,2005,International,"From the Booker Prize-winning author of The Remains of the Day and When We Were Orphans, comes an unforgettable edge-of-your-seat mystery that is at once heartbreakingly tender and morally courageous about what it means to be human. Hailsham seems like a pleasant English boarding school, far from the influences of the city. Its students are well tended and supported, trained in art and literature, and become just the sort of people the world wants them to be. But, curiously, they are taught nothing of the outside world and are allowed little contact with it. Within the grounds of Hailsham, Kathy grows from schoolgirl to young woman, but it’s only when she and her friends Ruth and Tommy leave the safe grounds of the school (as they always knew they would) that they realize the full truth of what Hailsham is."
197,Angela Carter,Wise Children,F,9780374530945,1991,International,"It’s 23 April, Shakespeare’s birthday. In Brixton, Nora and Dora Chance – twin chorus girls born and bred south of the river – are celebrating their 75th birthday. Over the river in Chelsea, their father and greatest actor of his generation Melchior Hazard turns 100 on the same day. As does his twin brother Peregrine. If, in fact, he’s still alive. And if, in truth, Melchior is their real father after all… A big, bawdy tangle of theatrical joy and heartbreak, Wise Children is a celebration of show business, family, forgiveness and hope. Expect showgirls and Shakespeare, sex and scandal, music, mischief and mistaken identity – and butterflies by the thousand."
202,Salman Rushdie,Midnight’s Children,M,9780676970654,1981,International,to come
203,V.S. Naipaul,A Bend in the River,M,9780676975130,1979,International,to come
204,Virginia Woolf,To the Lighthouse,F,9780156907392,1927,International,to come
205,Vladimir Nabokov,Lolita,M,9780679723165,1955,International,to come
206,W. Somerset Maugham,Of Human Bondage,M,9780375753152,1915,International,to come
207,The Tales of Beedle the Bard,"Rowling, J.K.",F,0,0,International,to come
208,The Da Vinci Code,"Brown, Dan",M,0,0,International,to come
209,Angels and Demons,"Brown, Dan",M,0,0,International,to come
210,The Lost Symbol,"Brown, Dan",M,0,0,International,to come
211,Deception Point,"Brown, Dan",M,0,0,International,to come
212,Digital Fortress,"Brown, Dan",M,0,0,International,to come
213,The Broker,"Grisham, John",M,0,0,International,to come
214,The Summons,"Grisham, John",M,0,0,International,to come
